Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
C2H5OCH=CHNH2->C2H4+CH3NH2+CO,1,C2H5OCH=CHNH2,C2H5OCH=CHNH2,,C2H4 | CH3NH2 | CO,C2H4,CH3NH2,CO,,273.0,613.0,6300000000000.0, ,173000.0
CBr3OF->CBr3+OF,1,CBr3OF,CBr3OF,,CBr3 | OF,CBr3,OF,,,200.0,400.0,1.41e+16,-0.67,320000.0
CBr3OF->CBr3O(.)+.F,1,CBr3OF,CBr3OF,,CBr3O(.) | .F,CBr3O(.),.F,,,200.0,400.0,4000000000000000.0,-0.03,158000.0
CCl3OF->.F+CCl3O,1,CCl3OF,CCl3OF,,.F | CCl3O,.F,CCl3O,,,200.0,400.0,4300000000000000.0,-0.04,180000.0
CCl3OF->.CCl3+OF,1,CCl3OF,CCl3OF,,.CCl3 | OF,.CCl3,OF,,,200.0,400.0,1.3e+16,-0.57,325000.0
CCl3OBr->Br.+CCl3O,1,CCl3OBr,CCl3OBr,,Br. | CCl3O,Br.,CCl3O,,,200.0,400.0,3610000000000000.0,-0.53,1940000.0
CCl3OBr->.CCl3+BrO,1,CCl3OBr,CCl3OBr,,.CCl3 | BrO,.CCl3,BrO,,,200.0,400.0,9200000000000000.0,-0.73,325000.0
CBr3OCl->CBr3+ClO,1,CBr3OCl,CBr3OCl,,CBr3 | ClO,CBr3,ClO,,,200.0,400.0,1.21e+16,-0.84,305000.0
CBr3OCl->CBr3O(.)+Cl,1,CBr3OCl,CBr3OCl,,CBr3O(.) | Cl,CBr3O(.),Cl,,,200.0,400.0,4710000000000000.0,-0.37,186000.0
"Spiro[2.5]octa-1,5,7-trien-4-yl->Ethenyl,2-phenyl-",1,"Spiro[2.5]octa-1,5,7-trien-4-yl","Spiro[2.5]octa-1,5,7-trien-4-yl",,"Ethenyl,2-phenyl-","Ethenyl,2-phenyl-",,,,250.0,2000.0,24700000000000.0,0.05,13000.0
Al(CH3)Al(CH3)2->Al(CH3)3+Al,1,Al(CH3)Al(CH3)2,Al(CH3)Al(CH3)2,,Al(CH3)3 | Al,Al(CH3)3,Al,,,296.0,324.0,4400000000000000.0, ,81100.0
C6H5CH2CH=CH(.)->C6H5CH2C2H+H.,1,C6H5CH2CH=CH(.),C6H5CH2CH=CH(.),,C6H5CH2C2H | H.,C6H5CH2C2H,H.,,,900.0,1800.0,10000000000000.0, ,137000.0
C6H5CH2C(.)=CH2->C6H5CH2C2H+H.,1,C6H5CH2C(.)=CH2,C6H5CH2C(.)=CH2,,C6H5CH2C2H | H.,C6H5CH2C2H,H.,,,900.0,1800.0,10000000000000.0, ,150000.0
"C6H5CH2C(.)=CH2->Benzene, 1,2-propadienyl-+H.",1,C6H5CH2C(.)=CH2,C6H5CH2C(.)=CH2,,"Benzene, 1,2-propadienyl- | H.","Benzene, 1,2-propadienyl-",H.,,,900.0,1800.0,10000000000000.0, ,138000.0
C6H5CH2C(.)=CH2->C6H4(.)CH2CHCH2,1,C6H5CH2C(.)=CH2,C6H5CH2C(.)=CH2,,C6H4(.)CH2CHCH2,C6H4(.)CH2CHCH2,,,,900.0,1800.0,10000000000000.0, ,17000.0
CH3CHBrO(.)->CH3CBr(OH)(.),1,CH3CHBrO(.),CH3CHBrO(.),,CH3CBr(OH)(.),CH3CBr(OH)(.),,,,250.0,500.0,3.65e-19, ,74300.0
CH3CHBrO(.)->.CH3+HC(O)Br,1,CH3CHBrO(.),CH3CHBrO(.),,.CH3 | HC(O)Br,.CH3,HC(O)Br,,,250.0,500.0,4.82e-17, ,60900.0
CH3CHBrO(.)->CH3COBr+H.,1,CH3CHBrO(.),CH3CHBrO(.),,CH3COBr | H.,CH3COBr,H.,,,250.0,500.0,3.99e-15, ,45300.0
CH3CHBrO(.)->CH3CHO+Br.,1,CH3CHBrO(.),CH3CHBrO(.),,CH3CHO | Br.,CH3CHO,Br.,,,250.0,500.0,5.31e-12, ,4141.0
"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl->Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",1,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl","Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl","Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,,,250.0,2000.0,1160000000000.0,0.43,129000.0
"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl->Ethenyl,2-phenyl-",1,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl","Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,"Ethenyl,2-phenyl-","Ethenyl,2-phenyl-",,,,250.0,2000.0,12700000000000.0,0.18,74500.0
"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl->2-(.)C6H4C2H3",1,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl","Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,2-(.)C6H4C2H3,2-(.)C6H4C2H3,,,,250.0,2000.0,39200000000000.0,0.26,158000.0
